序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
35,688218,江苏北人,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利约:1,582.13万元,同比上年增长3,953.95万元左右。",15821300.0,166.71,"本报告期内,公司利润总额、净利润及扣非净利润实现扭亏为盈,主要得益于以下因素:一是智能装备板块项目验收金额及毛利率同比均有提升;二是工商业储能业务上年同期因计提大额资产减值准备,对利润造成较大负面影响,本期该减值因素已消除,未再对业绩产生不利影响。综合上述收入增长、毛利提升及减值影响消退等因素,公司本期经营业绩实现扭亏为盈。",扭亏,-23718200.0,2026-07-31
36,688218,江苏北人,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利约:1,451.83万元,同比上年增长3,998.16万元左右。",14518300.0,157.02,"本报告期内,公司利润总额、净利润及扣非净利润实现扭亏为盈,主要得益于以下因素:一是智能装备板块项目验收金额及毛利率同比均有提升;二是工商业储能业务上年同期因计提大额资产减值准备,对利润造成较大负面影响,本期该减值因素已消除,未再对业绩产生不利影响。综合上述收入增长、毛利提升及减值影响消退等因素,公司本期经营业绩实现扭亏为盈。",扭亏,-25463300.0,2026-07-31
37,301707,展芯股份,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:12,426.32万元至14,090.94万元,同比上年增长:0.81%至14.31%。",132586300.0,7.56,,略增,123269200.0,2026-07-31
38,301707,展芯股份,净利润,"预计2026年1-6月净利润盈利:12,676万元至14,340.61万元,同比上年增长:1.85%至15.22%。",135083050.0,8.535,,略增,124461200.0,2026-07-31
39,301707,展芯股份,营业收入,"预计2026年1-6月营业收入:31,705.57万元至34,725.74万元,同比上年变动:-6.79%至2.09%。",332156550.0,-2.35,,续盈,340164300.0,2026-07-31
40,301655,绿控传动,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:12,066.4万元至15,132.67万元,同比上年增长:76.68%至121.58%。",135995350.0,99.13,"2026年1-6月,公司预计实现营业收入较上年同期增长81.61%至102.11%,扣除非经常性损益后归属于母公司所有者的净利润较上年同期增长93.51%至143.18%。公司预计业绩的增长主要得益于下游新能源商用车市场需求的持续增长,以及凭借公司在技术、工艺及服务等方面的优势,主要产品销量稳步增长,规模效应不断凸显,带动盈利能力不断提升。",预增,68295500.0,2026-07-31
41,301655,绿控传动,营业收入,"预计2026年1-6月营业收入:221,390.73万元至246,390.73万元,同比上年增长:81.61%至102.11%。",2338907300.0,91.86,"2026年1-6月,公司预计实现营业收入较上年同期增长81.61%至102.11%,扣除非经常性损益后归属于母公司所有者的净利润较上年同期增长93.51%至143.18%。公司预计业绩的增长主要得益于下游新能源商用车市场需求的持续增长,以及凭借公司在技术、工艺及服务等方面的优势,主要产品销量稳步增长,规模效应不断凸显,带动盈利能力不断提升。",预增,1219063200.0,2026-07-31
42,301655,绿控传动,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:11,945.78万元至15,012.05万元,同比上年增长:93.51%至143.18%。",134789150.0,118.345,"2026年1-6月,公司预计实现营业收入较上年同期增长81.61%至102.11%,扣除非经常性损益后归属于母公司所有者的净利润较上年同期增长93.51%至143.18%。公司预计业绩的增长主要得益于下游新能源商用车市场需求的持续增长,以及凭借公司在技术、工艺及服务等方面的优势,主要产品销量稳步增长,规模效应不断凸显,带动盈利能力不断提升。",预增,61732100.0,2026-07-31
43,300670,大烨智能,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润亏损:1,200万元至1,500万元。",-13500000.0,68.275,"报告期内,公司归属于上市公司股东的净利润及扣除非经常性损益后的净利润较同期预计将大幅减亏,主要原因如下:1、报告期内,公司已通过光船租赁的形式将船舶锦华01、锦华02对外出租,并自2026年3月份起收取租金。稳定的租金收入使得船舶运营效益显著改善,带动公司整体毛利水平较同期大幅提升。2、报告期内,公司非经常性损益主要来源于公司积极主张维护自身利益从而获得相应赔偿收益等事项。3、报告期内,公司聚焦主业发展,虽然新增智能配电中标规模较同期大幅增长,但受到交付节奏影响,营业收入同比有所下降。随着后续订单逐步交付,预计公司智能配电业务营业收入将稳步增长。",减亏,-42548700.0,2026-07-31
44,300670,大烨智能,归属于上市公司股东的净利润,预计2026年1-6月归属于上市公司股东的净利润盈利:600万元至900万元。,7500000.0,117.35,"报告期内,公司归属于上市公司股东的净利润及扣除非经常性损益后的净利润较同期预计将大幅减亏,主要原因如下:1、报告期内,公司已通过光船租赁的形式将船舶锦华01、锦华02对外出租,并自2026年3月份起收取租金。稳定的租金收入使得船舶运营效益显著改善,带动公司整体毛利水平较同期大幅提升。2、报告期内,公司非经常性损益主要来源于公司积极主张维护自身利益从而获得相应赔偿收益等事项。3、报告期内,公司聚焦主业发展,虽然新增智能配电中标规模较同期大幅增长,但受到交付节奏影响,营业收入同比有所下降。随着后续订单逐步交付,预计公司智能配电业务营业收入将稳步增长。",扭亏,-43224400.0,2026-07-31
45,300613,富瀚微,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:27,000万元至35,000万元,同比上年增长:1072.72%至1420.19%。",310000000.0,1246.455,"公司预计2026年上半年实现营业收入14亿元—15亿元,同比增长103.48%—118.01%;实现归属于上市公司股东的净利润2.7亿元—3.5亿元,同比增长1,072.72%—1,420.19%。其中,二季度营业收入和归母净利润双双创下单季度历史新高。具体如下:1、2026年上半年,全球电子业经历了大幅度的存储价格上涨,其他各类上游原材料(包括PCB、电阻电容等)也出现供应紧缺及价格上涨的情况,公司对产品价格进行了上调。2、2026年上半年,公司三大业务板块销售数量大幅增长。由于产品价格同样上行,各项业务同比均形成量价齐升的良好局面。针对上游产能紧张、下游需求高企的状况,公司通过成熟的供应链管理和多样的产品方案,顺利保障向客户充足出货,进而与下游客户共同构建了良好的商业生态。同时,公司新产品AI-ISP芯片的市场反馈积极,面向机器人等新领域的客户拓展也稳步向好。3、长期来看,端边侧AI应用已规模化落地,AI技术在智能终端、边缘硬件等场景中得到大规模应用。具身智能、机器人、家庭智能终端等市场集中逐步起量,将为公司主营业务增长提供强劲的支持。公司将一如既往地坚持内部研发和产业投资并重:一方面保持高研发强度,完善端边侧芯片产品矩阵,以覆盖从低到高算力、从定点到运动设备的全方位场景和应用需求;另一方面保持对AI大视觉产业链的高度关注,携手从前端采集处理、数据编码传输到后端内容分析等各环节的产业链伙伴,推进多方面布局与赋能,为搭建新时代的AI视觉生态平台继续努力。",预增,23023400.0,2026-07-31
46,300613,富瀚微,扣除非经常性损益后的净利润,"预计2026年1-6月扣除非经常性损益后的净利润盈利:26,600万元至34,600万元,同比上年增长:1640.93%至2164.52%。",306000000.0,1902.725,"公司预计2026年上半年实现营业收入14亿元—15亿元,同比增长103.48%—118.01%;实现归属于上市公司股东的净利润2.7亿元—3.5亿元,同比增长1,072.72%—1,420.19%。其中,二季度营业收入和归母净利润双双创下单季度历史新高。具体如下:1、2026年上半年,全球电子业经历了大幅度的存储价格上涨,其他各类上游原材料(包括PCB、电阻电容等)也出现供应紧缺及价格上涨的情况,公司对产品价格进行了上调。2、2026年上半年,公司三大业务板块销售数量大幅增长。由于产品价格同样上行,各项业务同比均形成量价齐升的良好局面。针对上游产能紧张、下游需求高企的状况,公司通过成熟的供应链管理和多样的产品方案,顺利保障向客户充足出货,进而与下游客户共同构建了良好的商业生态。同时,公司新产品AI-ISP芯片的市场反馈积极,面向机器人等新领域的客户拓展也稳步向好。3、长期来看,端边侧AI应用已规模化落地,AI技术在智能终端、边缘硬件等场景中得到大规模应用。具身智能、机器人、家庭智能终端等市场集中逐步起量,将为公司主营业务增长提供强劲的支持。公司将一如既往地坚持内部研发和产业投资并重:一方面保持高研发强度,完善端边侧芯片产品矩阵,以覆盖从低到高算力、从定点到运动设备的全方位场景和应用需求;另一方面保持对AI大视觉产业链的高度关注,携手从前端采集处理、数据编码传输到后端内容分析等各环节的产业链伙伴,推进多方面布局与赋能,为搭建新时代的AI视觉生态平台继续努力。",预增,15279200.0,2026-07-31
47,920403,康农种业,归属于上市公司股东的净利润,"预计2026年1-6月归属于上市公司股东的净利润盈利:1,400万元至1,600万元,同比上年增长:61.13%至84.15%。",15000000.0,72.64,"1、本期较上年同期,农历春节时点较晚,2025-2026销售季度的销售旺季会部分延长至2026年一季度,且公司黄淮海夏播区域核心品种种植表现持续良好,部分销售延长至2026年二季度,使得公司营业收入较上年同期有所增加。2、公司在西北地区的主要制种基地整体制种成本较上年同期进一步下降,公司2026年上半年玉米种子销售毛利率较上年同期有所提高。",预增,8688500.0,2026-07-30
